Category,Title,Url
Judicial," Luis Alfredo Ramos, condenado por parapolítica, apela su sentencia",/judicial/luis-alfredo-ramos-condenado-por-parapolitica-apela-su-sentencia/
Política, Denuncian ante Corte Suprema a 71 congresistas por derogación de ley de garantías,/politica/denuncian-ante-corte-suprema-a-71-congresistas-por-derogacion-de-ley-de-garantias/
Judicial, El escabroso cartel que tiene en apuros judiciales a la política Sara Piedrahíta,/judicial/el-escabroso-cartel-que-tiene-en-apuros-judiciales-a-la-politica-sara-piedrahita/
Bogotá," Por fuertes lluvias en Bogotá, un árbol cayó sobre un taxi",/bogota/por-fuertes-lluvias-en-bogota-un-arbol-cayo-sobre-un-taxi/
Bogotá, Estos son los días en los que más roban en el transporte público en Bogotá,/bogota/estos-son-los-dias-en-los-que-mas-roban-en-el-transporte-publico-en-bogota/
Economía," Leche y ‘Hot Wheels’, entre los artículos más robados de los supermercados ",/economia/leche-y-hot-wheels-entre-los-articulos-mas-robados-de-los-supermercados/
Cine y TV," “La monja”, “Siniestro” y otras películas aterradoras para ver en Halloween",/entretenimiento/cine-y-tv/la-monja-siniestro-y-otras-peliculas-aterradoras-para-ver-en-halloween/
Medellín, “Respetamos la prensa libre e incluso la que se ha vendido”: alcalde de Medellín,/colombia/medellin/respetamos-la-prensa-libre-e-incluso-la-que-se-ha-vendido-alcalde-de-medellin/
Category Null," Yolanda Ruiz: “Gracias, Jineth, por levantar la voz, por no desfallecer”",/opinion/columnistas/yolanda-ruiz/yolanda-ruiz-gracias-jineth-por-levantar-la-voz-por-no-desfallecer/
Category Null, Volver al 10,/opinion/columnistas/andres-marocco/volver-al-10/
Category Null, Vox sale de caza en América Latina,/opinion/columnistas/carlos-granes/vox-sale-de-caza-en-america-latina/
Salud, Estas son las barreras en el acceso a la salud para personas LGBTIQ,/salud/estas-son-las-barreras-en-el-acceso-a-la-salud-para-personas-lgbtiq/
Gente," “Mi corazón está roto”, dice Alec Baldwin tras la muerte de Halyna Hutchins",/entretenimiento/gente/mi-corazon-esta-roto-dice-alec-baldwin-tras-la-muerte-de-halyna-hutchins/
Actualidad, Banco de Bogotá recibe la certificación como un Gran Lugar para Trabajar,/actualidad/banco-de-bogota-recibe-la-certificacion-como-un-gran-lugar-para-trabajar/
