Category,Title,Url
Ciencia, El colombiano detrás del primer fósil de un cangrejo que vivió con los dinosaurios,/ciencia/el-colombiano-detras-del-primer-fosil-de-un-cangrejo-que-vivio-con-los-dinosaurios/
Judicial, El capo narcotraficante en el norte del Valle que es pedido por EE. UU.,/judicial/el-capo-narcotraficante-en-el-norte-del-valle-que-es-pedido-por-ee-uu/
Más países, El mundo no es como lo pintan: ¿No más secretos para la Iglesia?,/mundo/mas-paises/el-mundo-no-es-como-lo-pintan-no-mas-secretos-para-la-iglesia/
Bogotá, El tablero desarrollado por bogotanos para enseñar lengua de señas,/bogota/el-tablero-desarrollado-por-bogotanos-para-ensenar-lengua-de-senas/
Tecnología, EA vs FIFA: una batalla que cambiará el futuro del fútbol y los videojuegos,/tecnologia/la-batalla-que-promete-cambiar-para-siempre-la-industria-del-futbol-y-los-videojuegos/
Impacto Mujer, ¿Quién cuida a quienes nos cuidan?,/impacto-mujer/quien-cuida-a-quienes-nos-cuidan/
El Magazín Cultural, Sobre el FICCI Interruptus y los valores de la presencialidad en el cine,/el-magazin-cultural/sobre-el-ficci-interruptus-y-los-valores-de-la-presencialidad-en-el-cine/
Conflicto, Campesinos se sienten “tumbados “con contratos del Gobierno para zonas de reserva,/colombia-20/conflicto/campesinos-se-sienten-tumbados-con-contratos-del-gobierno-para-zonas-de-reserva-forestal/
Category Null, Maestro Tabárez,/opinion/columnistas/luis-fernando-montoya/maestro-tabarez/
Category Null," Yolanda Ruiz: “Gracias, Jineth, por levantar la voz, por no desfallecer”",/opinion/columnistas/yolanda-ruiz/yolanda-ruiz-gracias-jineth-por-levantar-la-voz-por-no-desfallecer/
Category Null, Volver al 10,/opinion/columnistas/andres-marocco/volver-al-10/
Política, “Estamos retomando banderas nuestras”: líder conservador para Consejos de Juventud ,/politica/estamos-retomando-banderas-lider-conservador-sobre-consejos-de-juventud/
Gente, La ficción de Alec Baldwin que traspasa la realidad,/entretenimiento/gente/la-ficcion-de-alec-baldwin-que-traspasa-la-realidad/
Actualidad, Banco de Bogotá recibe la certificación como un Gran Lugar para Trabajar,/actualidad/banco-de-bogota-recibe-la-certificacion-como-un-gran-lugar-para-trabajar/
