Category,Title,Url
Gobierno,"Minsalud puede aplicar vacuna de Sinovac en mayores de 6 años, dice Invima",/politica/gobierno/hidroituango-ivan-duque-hablo-de-posible-salida-del-bid-del-proyecto-627224
Cine y Tv,Duque advirtió sobre consecuencias de posible salida del BID de Hidroituango,/cultura/cine-y-tv/alec-baldwin-equipo-de-la-pelicula-denuncio-incidentes-previos-con-armas-627253
Fútbol Internacional,Equipo de película de Alec Baldwin habría advertido de inseguridad en armas,/deportes/futbol-internacional/eliminatorias-al-mundial-fechas-y-horarios-de-las-proximas-jornadas-627168
Sectores,Fechas y horarios confirmados para lo que viene en la eliminatoria,/economia/sectores/que-productos-estan-escaseando-en-el-mundo-626775
Conflicto y Narcotráfico,Qué productos están escaseando en el mundo,/justicia/conflicto-y-narcotrafico/eln-en-operacion-de-la-fuerza-publica-muere-el-viejo-627182
Delitos,"En operación de Fuerzas Especiales murió el 'Viejo', jefe del Eln en Chocó",/justicia/delitos/armas-traumaticas-mindefensa-confirma-firma-de-decreto-para-su-porte-627145
Fútbol Internacional,Armas traumáticas: habrá registro general y plazo de 18 meses para hacerlo,/deportes/futbol-internacional/james-rodriguez-actuacion-en-la-final-de-la-emir-cup-con-el-al-rayyan-627137
Gente,Así fue la actuación de James Rodríguez en su primera final en Catar,/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043
Medellín,Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente,/colombia/medellin/medellin-alexander-antonio-ramos-murio-tras-cirugia-estetica-627032
Bogotá,Viajero murió tras hacerse una liposucción en un hospital de Medellín,/bogota/lluvias-en-bogota-reporte-de-las-vias-en-este-22-de-octubre-627155
Cine y Tv,Lluvias en Bogotá: susto por un árbol que cayó sobre un taxi,/cultura/cine-y-tv/alec-baldwin-que-dijo-tras-dispararle-a-halyna-hutchins-627104
Category Null,Alec Baldwin tras trágico accidente en rodaje: 'Mi corazón está roto',/podcast/sin-pelos-en-la-legua/esto-piensa-el-congresista-edward-rodriguez-sobre-rafael-nieto-loaiza-626531
Category Null,"(Pódcast) ""Pensé en renunciar al Centro Democrático"": congresista Edward Rodríguez",/opinion/editorial/por-ahora-un-fracaso-editorial-el-tiempo-626974
Gente,"Por ahora, un fracaso",/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043
Medellín,Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente,/colombia/medellin/medellin-alexander-antonio-ramos-murio-tras-cirugia-estetica-627032
Bogotá,Viajero murió tras hacerse una liposucción en un hospital de Medellín,/bogota/lluvias-en-bogota-reporte-de-las-vias-en-este-22-de-octubre-627155
Cine y Tv,Lluvias en Bogotá: susto por un árbol que cayó sobre un taxi,/cultura/cine-y-tv/alec-baldwin-que-dijo-tras-dispararle-a-halyna-hutchins-627104
Barranquilla,Alec Baldwin tras trágico accidente en rodaje: 'Mi corazón está roto',/colombia/barranquilla/golpiza-a-ladrones-en-malambo-627083
Otras Ciudades,Comunidad dio golpiza y trató de cortarle los dedos a 2 presuntos ladrones,/colombia/otras-ciudades/habitante-de-calle-habria-violado-adulta-mayor-en-un-hospital-de-cartagena-627200
Contenido Patrocinado,Habitante de calle habría abusado de abuela internada en UCI de Cartagena,/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625
Category Null,"everis cambia de marca, ahora es NTT Data",/opinion/editorial/por-ahora-un-fracaso-editorial-el-tiempo-626974
Contenido Patrocinado,"Por ahora, un fracaso",/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625
Fútbol Colombiano,"everis cambia de marca, ahora es NTT Data",/deportes/futbol-colombiano/fredy-guarin-hablo-sobre-el-escandalo-por-violencia-domestica-627132
Más Contenido,Fredy Guarín rompió el silencio y habló de su escándalo,/mas-contenido/banco-de-bogota-recibe-certificacion-de-la-firma-great-place-to-work-626925
Cine y Tv,Banco de Bogotá recibe certificación de la firma Great Place To Work,/cultura/cine-y-tv/hollywood-sus-grandes-galanes-de-todos-los-tiempos-626919
Otras Ciudades,"Flacos románticos, 'sugar daddies' y otros galanes de Hollywood",/colombia/otras-ciudades/test-de-ortografia-midase-a-ver-que-tan-bueno-es-con-la-escritura-626724
Bogotá,¿Cree que realmente es bueno con la ortografía? Demuéstrelo con este test,/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036
Category Null,¿Qué va a pasar con los indígenas embera del parque Nacional?,/mundo/eeuu-y-canada/paramedico-brad-cox-es-investigado-por-haber-agredido-a-habitante-de-calle-627217
Contenido Patrocinado,Investigan brutal video de paramédico pateando a un habitante de calle,/contenido-comercial/sabia-que-el-cafe-que-esta-tomando-puede-que-no-sea-colombiano-626882
Gente,¿Sabía que el café que está tomando puede que no sea colombiano?,/cultura/gente/exsoldado-desarmo-a-ladrones-que-iban-a-robar-una-gasolinera-arizona-627107
Category Null,Video: exsoldado iba a ser atracado y desarmó a ladrones en apenas segundos,/mundo/eeuu-y-canada/ee-uu-impondra-nuevas-condiciones-para-ayuda-a-colombia-626987
Category Null,EE. UU. busca imponer nuevas condiciones para ayuda a Colombia,/podcast/degeneradas/que-es-el-escrache-feminista-626364
Bogotá,¿Qué es el ‘escrache’ y por qué la Corte Constitucional lo protege?,/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036
Ciencia,¿Qué va a pasar con los indígenas embera del parque Nacional?,/vida/ciencia/reconstruyen-rostros-de-tres-momias-egipcias-de-hace-mas-de-2000-anos-627059
Ciencia,Los rostros ocultos bajo tres momias egipcias de hace más de 2.000 años,/vida/ciencia/hallan-al-fosil-de-cangrejo-moderno-mas-antiguo-del-mundo-626976
Novedades Tecnología,"Hallan al abuelo de los cangrejos modernos, vivió con los dinosaurios",/tecnosfera/novedades-tecnologia/colombianos-crean-software-para-la-transformacion-digital-de-empresas-626939
Bogotá,La plataforma creada por colombianos que aporta a la transformación digital,/bogota/banco-de-alimentos-de-bogota-gano-premio-de-sociedad-de-mejoras-y-ornato-626971
Partidos Políticos,Banco de Alimentos gana el premio Gonzalo Jiménez de Quesada,/politica/partidos-politicos/como-evitar-la-corrupcion-de-cara-a-las-proximas-elecciones-626959
Restaurantes,¿Cómo evitar la corrupción de cara a las próximas elecciones?,/cultura/restaurantes/critica-gastronomica-asi-es-mesa-salvaje-restaurante-vegetariano-626820
Fútbol Colombiano,"Un vegetariano salvaje, en 'El Caldero de Sancho'",/deportes/futbol-colombiano/nacional-vs-pereira-es-la-final-de-la-copa-colombia-627004
Bogotá,Atlético Nacional es finalista de la Copa Colombia,/bogota/banco-de-alimentos-de-bogota-gano-premio-de-sociedad-de-mejoras-y-ornato-626971
Partidos Políticos,Banco de Alimentos gana el premio Gonzalo Jiménez de Quesada,/politica/partidos-politicos/como-evitar-la-corrupcion-de-cara-a-las-proximas-elecciones-626959
Restaurantes,¿Cómo evitar la corrupción de cara a las próximas elecciones?,/cultura/restaurantes/critica-gastronomica-asi-es-mesa-salvaje-restaurante-vegetariano-626820
Fútbol Colombiano,"Un vegetariano salvaje, en 'El Caldero de Sancho'",/deportes/futbol-colombiano/nacional-vs-pereira-es-la-final-de-la-copa-colombia-627004
